ISBN,AverageUsedPrice,LowestPrice,HighestPrice
9781509858637,8.50,6.00,12.00
9780141033570,13.25,9.50,18.00
9781784701994,10.75,8.00,14.50
9781845298258,9.50,7.00,13.00
9781846041242,11.00,8.50,15.00
9780330523622,6.75,4.50,10.00
9781780722405,10.00,7.50,13.50
9781780723044,10.25,7.75,14.00
9780241351642,20.50,15.00,28.00
9781846685828,10.50,8.00,13.50
9781925228601,11.75,9.00,15.50
9780141038872,12.50,9.50,17.00
9781401954406,26.00,19.50,35.00
9780141976143,10.75,8.00,14.00
9780241351635,23.50,17.00,32.00
9780141988511,11.50,8.50,15.50
9780954852023,21.50,16.00,28.00
9781401948368,19.00,14.00,26.00
9780761169253,9.75,7.00,13.50
9781611800586,11.50,8.50,15.00
